"last_change_date","rows_count","barcodes_count","warehouses_count","total_stock","is_valid_snapshot","year","week_start_date","week","month_year","month_start_date","month_number","quarter_start_date","quarter_number","quarter","day","day_month","previous_day_snapshot_date","previous_week_snapshot_date","previous_month_snapshot_date","previous_quarter_snapshot_date","date_code","week_code","month_code","quarter_code"
"2022-03-26",1,1,1,1,0,2022,"2022-03-21","21.03","March 2022","2022-03-01",3,"2022-01-01",1,"Q1 2022",26,"26.03",NULL,NULL,NULL,NULL,20220326,20220321,202203,20221
"2022-03-27",2,2,1,320,0,2022,"2022-03-21","21.03","March 2022","2022-03-01",3,"2022-01-01",1,"Q1 2022",27,"27.03",NULL,NULL,NULL,NULL,20220327,20220321,202203,20221
"2022-04-04",17,16,7,0,0,2022,"2022-04-04","04.04","April 2022","2022-04-01",4,"2022-04-01",2,"Q2 2022",4,"04.04",NULL,NULL,NULL,NULL,20220404,20220404,202204,20222
"2022-04-05",35,32,7,0,0,2022,"2022-04-04","04.04","April 2022","2022-04-01",4,"2022-04-01",2,"Q2 2022",5,"05.04",NULL,NULL,NULL,NULL,20220405,20220404,202204,20222
"2022-04-06",23,22,8,0,0,2022,"2022-04-04","04.04","April 2022","2022-04-01",4,"2022-04-01",2,"Q2 2022",6,"06.04",NULL,NULL,NULL,NULL,20220406,20220404,202204,20222
"2022-04-07",979,292,10,149780,1,2022,"2022-04-04","04.04","April 2022","2022-04-01",4,"2022-04-01",2,"Q2 2022",7,"07.04",NULL,NULL,NULL,NULL,20220407,20220404,202204,20222
"2022-04-08",983,292,10,73809,1,2022,"2022-04-04","04.04","April 2022","2022-04-01",4,"2022-04-01",2,"Q2 2022",8,"08.04","2022-04-07",NULL,NULL,NULL,20220408,20220404,202204,20222
"2022-04-09",1002,292,10,75497,1,2022,"2022-04-04","04.04","April 2022","2022-04-01",4,"2022-04-01",2,"Q2 2022",9,"09.04","2022-04-08",NULL,NULL,NULL,20220409,20220404,202204,20222
"2022-04-10",1017,292,10,74225,1,2022,"2022-04-04","04.04","April 2022","2022-04-01",4,"2022-04-01",2,"Q2 2022",10,"10.04","2022-04-09",NULL,NULL,NULL,20220410,20220404,202204,20222
"2022-04-11",1020,292,10,73696,1,2022,"2022-04-11","11.04","April 2022","2022-04-01",4,"2022-04-01",2,"Q2 2022",11,"11.04","2022-04-10","2022-04-10",NULL,NULL,20220411,20220411,202204,20222
