"last_change_date","barcode","available_stock","in_way_to_client","in_way_from_client","total_stock","available_stock_cost","in_way_to_client_cost","in_way_from_client_cost","total_stock_cost","sales_quantity","revenue","for_pay","sales_cost_price","gross_profit","cost_price","is_cost_price_missing","is_stock_missing","category","subject","supplier_article","brand","orig_country","color","size_group","size"
"2022-06-04","2000582612408",0,1,1,2,NULL,99.39,99.39,198.78,0,0,0,0,0,99.3888,0,0,"category 594","subject 627","supplierArticle 488","brand 605","Сербия","Фиолетовый",NULL,"0"
"2022-05-18","2000582612347",0,2,0,2,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-05-18","2000466024310",800,136,26,962,234528.00,39869.76,7622.16,282019.92,8,5967.00,5580.18,2345.28,3234.90,293.16,0,0,"category 588","subject 618","supplierArticle 432","brand 604","Сербия","оливковый",NULL,"0"
"2022-07-26","2000629385401",0,12,1,13,NULL,1235.16,102.93,1338.09,0,0,0,0,0,102.93,0,0,"category 599","subject 624","supplierArticle 48","brand 607","Сербия","Розовый",NULL,"0"
"2022-06-30","2000629385401",0,24,2,26,NULL,2470.32,205.86,2676.18,0,0,0,0,0,102.93,0,0,"category 599","subject 624","supplierArticle 48","brand 607","Сербия","Розовый",NULL,"0"
"2022-09-14","2000582612385",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-06-27","2000464167095",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-25","2000629385401",0,22,2,24,NULL,2264.46,205.86,2470.32,0,0,0,0,0,102.93,0,0,"category 599","subject 624","supplierArticle 48","brand 607","Сербия","Розовый",NULL,"0"
"2022-08-28","2000599354315",0,2,0,2,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-05-23","2000599354117",0,2,0,2,NULL,110.26,NULL,110.26,0,0,0,0,0,55.1304,0,0,"category 589","subject 637","supplierArticle 486","brand 605","Сербия","Розовый",NULL,"0"
"2022-06-01","2000629385395",0,26,2,28,NULL,2587.00,199.00,2786.00,0,0,0,0,0,99.5,0,0,"category 599","subject 624","supplierArticle 46","brand 607","Сербия","Черный",NULL,"0"
"2022-04-09","2000599354131",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-05-21","2000582612309",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-04-13","2000466024495",0,1,0,1,NULL,98.34,NULL,98.34,0,0,0,0,0,98.34,0,0,"category 596","subject 633","supplierArticle 465","brand 610","Сербия","Розовый",NULL,"0"
"2022-08-07","2000629385432",0,2,0,2,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-07","2000629385401",0,22,2,24,NULL,2264.46,205.86,2470.32,0,0,0,0,0,102.93,0,0,"category 599","subject 624","supplierArticle 48","brand 607","Сербия","Розовый",NULL,"0"
"2022-05-27","2000582612125",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
